userType,firstName,lastName,email,cellphone
ASSOCIATION_OFFICIAL,Rudie G,Maringa,Rudieg@theawesome.com,+19095550051
ROUTE_BUILDER,Wilson,Maluleke,Wilsonm@theawesome.com,+19095550052
ROUTE_BUILDER,Vinnie,Vincent,Vinnievinw@theawesome.com,+19095550053
ASSOCIATION_OFFICIAL,Mmaphefo ,Moloi,Mmaphefo@theawesome.com,+19095550054
MARSHAL,Tom,van der Merwe,Tomvdm@theawesome.com,+19095550055
MARSHAL,Bennie,van Zyl,bennievz@theawesome.com,+19095550056
DRIVER,Corne,Thomas,cornet@theawesome.com,+19095550057
DRIVER,Ben,Nkuna,bennkuna@theawesome.com,+19095550058
AMBASSADOR,Maria,Mangena,mriamangena@theawesome.com,+19095550059
AMBASSADOR,Samuel,Trent,smamyt@theawesome.com,+19095550060

